Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i001_2_an_NA_artichoke	i001_2_an_NA_artichoke	(#\d{1,3}) 2 10012	eeg_3	eeg_3_a	1	30010	10012	7	an	NA	artichoke	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an artichoke a day.	i001_2_an	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat an	0.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	0.348	0.794	[apple]	0.448	[apple]	[vowel]	0.968	1.000	31.000	67.000	1.000	3.000	28.000
i001_2_a__NA_fruit	i001_2_a__NA_fruit	(#\d{1,3}) 2 10011	eeg_3	eeg_3_b	1	30010	10011	7	a	NA	fruit	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a fruit a day.	i001_2_a_	norm_4	Ethan's mother told him there was a surefire way to keep the doctor away. She said that he should eat a	0.000	0.000	0.000	0.032	0.032	0.065	0.161	0.065	0.194	0.069	0.064	[apple]	0.125	[red]	[consonant]	0.161	0.000	31.000	88.000	0.068	0.064	[apple]	0.114	[red]	[consonant]	0.161	0.000	31.000	88.000	1.000	3.000	28.000
i002_2_a__NA_berry	i002_2_a__NA_berry	(#\d{1,3}) 2 10021	eeg_3	eeg_3_a	2	30020	10021	6	a	NA	berry	For the snowman's eyes the kids used two pieces of coal. For his nose they used a berry from the fridge.	i002_2_a_	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used a	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	0.754	1.000	[carrot]	0.939	[carrot]	[consonant]	1.000	1.000	31.000	33.000	1.000	31.000	0.000
i002_2_an_NA_icicle	i002_2_an_NA_icicle	(#\d{1,3}) 2 10022	eeg_3	eeg_3_b	2	30020	10022	6	an	NA	icicle	For the snowman's eyes the kids used two pieces of coal. For his nose they used an icicle from the fridge.	i002_2_an	norm_4	For the snowman's eyes the kids used two pieces of coal. For his nose they used an	0.000	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.240	0.202	[carrot]	0.351	[orange]	[vowel]	0.400	1.000	30.000	57.000	0.240	0.202	[carrot]	0.351	[orange]	[vowel]	0.400	1.000	30.000	57.000	1.000	31.000	0.000
i003_2_an_NA_orange	i003_2_an_NA_orange	(#\d{1,3}) 2 10032	eeg_3	eeg_3_a	3	30030	10032	9	an	NA	orange	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an orange after lunch.	i003_2_an	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel an	0.935	0.000	0.935	0.065	1.000	0.968	0.968	0.968	0.968	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	0.748	0.794	[orange]	0.938	[orange]	[vowel]	0.968	1.000	31.000	32.000	1.000	0.000	31.000
i003_2_a__NA_tangerine	i003_2_a__NA_tangerine	(#\d{1,3}) 2 10031	eeg_3	eeg_3_b	3	30030	10031	9	a	NA	tangerine	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a tangerine after lunch.	i003_2_a_	norm_4	Ellen was trying to eat more citrus but she didn't care for grapefruit. So as a snack she would often peel a	0.000	0.000	0.000	0.000	0.000	0.258	0.258	0.258	0.258	0.143	0.122	[orange]	0.244	[tangerine]	[consonant]	0.258	0.000	31.000	45.000	0.143	0.122	[orange]	0.244	[tangerine]	[consonant]	0.258	0.000	31.000	45.000	1.000	0.000	31.000
i004_2_a__NA_peanut	i004_2_a__NA_peanut	(#\d{1,3}) 2 10041	eeg_3	eeg_3_a	4	30040	10041	10	a	NA	peanut	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a peanut as a treat.	i004_2_a_	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got a	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	0.759	1.000	[banana]	0.941	[banana]	[consonant]	1.000	0.000	32.000	34.000	1.000	31.000	0.000
i004_2_an_NA_almond	i004_2_an_NA_almond	(#\d{1,3}) 2 10042	eeg_3	eeg_3_b	4	30040	10042	10	an	NA	almond	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an almond as a treat.	i004_2_an	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.145	[banana]	0.328	[apple]	[vowel]	0.323	0.000	31.000	58.000	0.158	0.145	[banana]	0.276	[apple]	[vowel]	0.323	0.000	31.000	58.000	1.000	31.000	0.000
i005_2_an_NA_accent	i005_2_an_NA_accent	(#\d{1,3}) 2 10052	eeg_3	eeg_3_a	5	30050	10052	7	an	NA	accent	It was difficult to understand the visiting professor. Like many foreigners he spoke with an accent when conversing in English.	i005_2_an	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with an	0.742	0.000	0.968	0.000	0.968	0.903	1.000	0.903	1.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	1.000	1.000	30.000
i005_2_a__NA_brogue	i005_2_a__NA_brogue	(#\d{1,3}) 2 10051	eeg_3	eeg_3_b	5	30050	10051	7	a	NA	brogue	It was difficult to understand the visiting professor. Like many foreigners he spoke with a brogue when conversing in English.	i005_2_a_	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with a	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.316	0.188	[accent]	0.483	[thick]	[consonant]	0.355	0.000	31.000	60.000	0.316	0.188	[accent]	0.483	[thick]	[consonant]	0.355	0.000	31.000	60.000	1.000	1.000	30.000
