item_id	expt	scn_dir	list	list_id	scn_f	stim_idx	trial	s1_code	noun_code	noun_pos	article	adjective	noun	s1	rsvp
i001_1_an_NA_apple	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	1	29	NA	10011	19	an	NA	apple	NA	The old wives' tale says that if you want to keep the doctor away then you should eat an apple a day.
i002_1_a__NA_carrot	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	2	42	NA	10022	18	a	NA	carrot	NA	For the snowman's eyes the children used two pieces of coal, and for its nose they used a carrot from the fridge.
i003_1_a__NA_lisp	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	3	12	NA	10034	12	a	NA	lisp	NA	It was difficult to understand the foreign professor because he had a lisp when he spoke.
i004_1_an_NA_accent	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	4	13	NA	10043	16	an	NA	accent	NA	Katie did not like to say words with the letter "s" because she spoke with an accent and was embarrassed.
i005_1_a__NA_check	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	5	3	NA	10054	19	a	NA	check	NA	Dale was very sorry for what he had said to Bernadette and he knew that he owed her a check because she was still upset.
i006_1_an_NA_apology	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	6	12	NA	10063	14	an	NA	apology	NA	The bakery did not accept credit cards so Peter would have to write an apology to the owner.
i007_1_a__NA_kite	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	7	22	NA	10074	21	a	NA	kite	NA	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a kite that actually flew.
i008_1_an_NA_airplane	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	8	3	NA	10083	12	an	NA	airplane	NA	The day was breezy so the boys went outside to fly an airplane in the park.
i009_1_an_NA_echo	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	9	2	NA	10091	11	an	NA	echo	NA	Surrounded by mountains, Lola shouted across the valley and heard an echo in the distance.
i010_1_a__NA_bird	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	10	25	NA	10102	8	a	NA	bird	NA	The tweeting in the treetops sounded like a bird to Melissa.
i011_1_an_NA_octopus	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	11	19	NA	10111	18	an	NA	octopus	NA	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus in hiding.
i012_1_a__NA_fish	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	12	20	NA	10122	17	a	NA	fish	NA	Marge hated baiting the hook, but she knew that it was the only way to catch a fish without using a lure.
i015_1_a__NA_student	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	15	34	NA	10154	13	a	NA	student	NA	On a street corner in Paris Kim had her portrait painted by a student for three francs.
i016_1_an_NA_artist	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	16	31	NA	10163	19	an	NA	artist	NA	Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist for a few more semesters.
i019_1_a__NA_book	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	19	31	NA	10194	24	a	NA	book	NA	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a book while growing up.
i020_1_an_NA_education	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	20	8	NA	10203	16	an	NA	education	NA	James is an avid reader, so for his birthday his sister decided to give him an education about Africa.
i021_1_an_NA_election	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	21	28	NA	10211	17	an	NA	election	NA	When the representative retired in the middle of his term, the state was forced to hold an election in his district.
i022_1_a__NA_parade	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	22	8	NA	10222	12	a	NA	parade	NA	Without the floats and the marching bands it wasn't much of a parade this year.
i023_1_a__NA_fight	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	23	18	NA	10234	20	a	NA	fight	NA	When her husband started staying late at the office every night, Joanne began to suspect that he was having a fight with someone at work.
i024_1_an_NA_affair	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	24	22	NA	10243	16	an	NA	affair	NA	Whenever Josh had too much to drink, he became belligerent and would try to start an affair with someone in the bar.
i025_1_an_NA_allowance	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	25	5	NA	10251	30	an	NA	allowance	NA	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an allowance to spend as she wished.
i026_1_a__NA_dollar	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	26	20	NA	10262	19	a	NA	dollar	NA	Andrew complained that the only place he could afford was the 99-cent store, after his grandmother gave him a dollar for helping her.
i029_1_an_NA_emergency	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	29	15	NA	10291	24	an	NA	emergency	NA	When she was filled out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an emergency while she was at work.
i030_1_a__NA_fire	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	30	1	NA	10302	18	a	NA	fire	NA	Harris saw smoke billowing out of his neighbors' home and immediately got on the phone to report a fire at their address.
i031_1_a__NA_hanger	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	31	27	NA	10314	23	a	NA	hanger	NA	Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use a hanger one of these days.
i032_1_an_NA_iron	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	32	9	NA	10323	15	an	NA	iron	NA	I wanted to put my coat in the closet but I could not find an iron anywhere.
i033_1_a__NA_race	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	33	16	NA	10334	16	a	NA	race	NA	No matter how safely you drive your car, chances are someday you'll be involved in a race with another vehicle.
i034_1_an_NA_accident	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	34	14	NA	10343	23	an	NA	accident	NA	When we saw the finish line and the pylons sectioning off part of the road, we knew that there must have been an accident earlier that day.
i035_1_an_NA_apartment	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	35	27	NA	10351	17	an	NA	apartment	NA	Margot had finally decided to buy a house in the suburbs, after a year of renting an apartment in the city.
i036_1_a__NA_studio	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	36	32	NA	10362	19	a	NA	studio	NA	Instead of recording a live album, the band decided they would have more control if they recorded in a studio without a lot of background noise.
i037_1_an_NA_invitation	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1a.scn	37	1	NA	10371	16	an	NA	invitation	NA	Sue had wanted to go to Tim's birthday party but she was still waiting for an invitation from him.
i038_1_a__NA_message	eeg_1	eeg_1_arquant	A1	eeg_1_a	A1b.scn	38	6	NA	10382	17	a	NA	message	NA	When I called his house Nolan was not home, but his mother said she could relay a message to him.
